variant,threads,push_ratio,duration_ms,prefill,throughput_mops,total_ops,avg_lat_ns,p50_ns,p99_ns,p999_ns,peak_live,peak_pending
HP,1,0.5,2000,1000,17.5659,35144466,107.9,65.0,204.0,5858.0,15421,256
EBR,1,0.5,2000,1000,16.8303,33693647,89.0,67.0,256.0,1741.0,15145,128
HP,2,0.5,2000,1000,4.2073,8453815,314.3,191.0,1297.0,17843.0,2590,494
EBR,2,0.5,2000,1000,4.2677,8561679,732.7,200.0,2108.0,8550.0,31862,31324
HP,4,0.5,2000,1000,4.0117,8066110,3453.2,189.0,1346.0,18911.0,6150,882
EBR,4,0.5,2000,1000,4.3774,9078291,1305.9,167.0,1011.0,5047.0,324298,318161
HP,8,0.5,2000,1000,4.1051,8255195,2006.5,166.0,1305.0,16715.0,3140,1552
EBR,8,0.5,2000,1000,4.1712,8728115,2137.0,164.0,982.0,4954.0,603191,602343
HP,16,0.5,2000,1000,3.9250,8140164,4791.0,158.0,1373.0,17080.0,5043,2662
EBR,16,0.5,2000,1000,4.1475,9094196,3187.9,160.0,907.0,3969.0,1629064,1626131
