variant,threads,push_ratio,duration_ms,prefill,throughput_mops,total_ops,avg_lat_ns,p50_ns,p99_ns,p999_ns,peak_live,peak_pending
EBR,1,0.1,3000,1000,39.5856,118775281,63.9,46.0,198.0,1431.0,1000,128
HP,1,0.1,3000,1000,46.3241,139062990,57.3,39.0,106.0,163.0,1000,256
Leak,1,0.1,3000,1000,8.8285,26492271,88.2,39.0,110.0,5116.0,2648969,2648969
RC,1,0.1,3000,1000,17.2563,51800004,84.9,65.0,194.0,248.0,1000,1
EBR,1,0.5,3000,1000,16.434,49336564,126.4,67.0,260.0,1849.0,17234,128
HP,1,0.5,3000,1000,16.9963,51008949,87.9,66.0,220.0,5893.0,18112,256
Leak,1,0.5,3000,1000,1.9973,6092697,1144.9,76.0,165.0,53105.0,3046537,3041913
RC,1,0.5,3000,1000,6.3185,18964357,175.1,163.0,293.0,431.0,9778,1
EBR,1,0.9,3000,1000,1.2391,3718389,510.2,86.0,8337.0,49652.0,2974084,127
HP,1,0.9,3000,1000,1.3164,3985153,1331.0,80.0,5653.0,51383.0,3188293,256
Leak,1,0.9,3000,1000,1.2235,3671664,1150.9,80.0,280.0,56738.0,3303817,367587
RC,1,0.9,3000,1000,0.7389,2243269,759.5,179.0,13027.0,71071.0,1794388,0
EBR,2,0.1,3000,1000,14.9955,45103882,200.2,55.0,561.0,3090.0,15981,15981
HP,2,0.1,3000,1000,16.0109,48207393,334.7,40.0,554.0,1815.0,1000,493
Leak,2,0.1,3000,1000,11.9476,36375733,323.1,39.0,213.0,606.0,3639608,3639608
RC,2,0.1,3000,1000,2.1884,6704900,1057.6,66.0,10901.0,26126.0,1000,4
EBR,2,0.5,3000,1000,4.2162,12658949,314.5,205.0,2280.0,8425.0,33534,32224
HP,2,0.5,3000,1000,4.1482,12460943,579.9,168.0,1335.0,16723.0,3165,503
Leak,2,0.5,3000,1000,2.9005,8810192,767.4,75.0,270.0,49142.0,4405803,4403336
RC,2,0.5,3000,1000,0.6364,1945084,3471.7,177.0,24359.0,47101.0,1299,422
EBR,2,0.9,3000,1000,1.783,5419988,363.7,85.0,922.0,52034.0,4337348,751
HP,2,0.9,3000,1000,1.7857,5427554,1192.0,77.0,1116.0,53742.0,4343386,510
Leak,2,0.9,3000,1000,1.6436,5012628,3903.5,77.0,212.0,62251.0,4512042,501436
RC,2,0.9,3000,1000,0.7506,2251912,1071.1,177.0,27348.0,76206.0,1800405,2
EBR,4,0.1,3000,1000,14.6724,44230236,205.2,55.0,570.0,1011.0,210286,210286
HP,4,0.1,3000,1000,17.0155,51227895,484.9,48.0,551.0,1583.0,832,832
Leak,4,0.1,3000,1000,12.4517,37384134,283.8,39.0,427.0,757.0,3737995,3737995
RC,4,0.1,3000,1000,1.9061,5734258,3154.4,66.0,22443.0,53868.0,1000,6
EBR,4,0.5,3000,1000,4.3222,13025293,723.2,172.0,1017.0,4676.0,305676,301760
HP,4,0.5,3000,1000,4.0802,12287199,1528.2,174.0,1391.0,17395.0,5677,864
Leak,4,0.5,3000,1000,3.9295,11794861,751.4,76.0,497.0,71335.0,5897891,5892817
RC,4,0.5,3000,1000,0.4664,1399798,9722.4,183.0,72622.0,195447.0,1661,234
EBR,4,0.9,3000,1000,2.3723,7118065,3680.1,85.0,1208.0,90814.0,5690952,2683
HP,4,0.9,3000,1000,2.4101,7234593,2871.4,77.0,12298.0,77470.0,5784933,943
Leak,4,0.9,3000,1000,2.3697,7110215,522.9,77.0,244.0,82058.0,6392056,709895
RC,4,0.9,3000,1000,0.3931,1179610,14835.6,185.0,70416.0,154527.0,943060,3
EBR,8,0.1,3000,1000,14.5538,44883734,463.0,54.0,544.0,1001.0,636933,636933
HP,8,0.1,3000,1000,15.5293,47680180,1098.2,45.0,582.0,1738.0,1449,1449
Leak,8,0.1,3000,1000,12.8805,38657753,349.0,39.0,429.0,756.0,3861658,3861658
RC,8,0.1,3000,1000,1.2633,3791497,10817.0,66.0,70943.0,198897.0,920,28
EBR,8,0.5,3000,1000,4.4146,13714390,1668.9,152.0,982.0,4700.0,901800,897932
HP,8,0.5,3000,1000,4.1232,12445589,1934.7,171.0,1271.0,17379.0,3822,1605
Leak,8,0.5,3000,1000,3.7096,11132409,2701.3,77.0,593.0,163853.0,5561992,5557531
RC,8,0.5,3000,1000,0.3929,1206186,24435.7,176.0,162728.0,589764.0,1221,326
EBR,8,0.9,3000,1000,2.3986,7351998,2828.6,85.0,1103.0,172174.0,5882700,6364
HP,8,0.9,3000,1000,2.4699,7413725,2794.4,77.0,2443.0,154842.0,5931616,1753
Leak,8,0.9,3000,1000,2.4234,7273534,3527.3,77.0,351.0,169255.0,6541064,727243
RC,8,0.9,3000,1000,0.2287,699915,24975.3,202.0,304885.0,944495.0,559981,4
